Interactable	ID	Speaker	State	Lines	Event	EventName	Note
							지오: 벽난로 앞, 주저앉은 모습.티미: 침대 앞에서 지오가 있는 방향을 바라보고 있음 (옆모습)
Cutscene	0	Zio			Emotion	Dust	현재 VFX 시간보다 더 길게 유지해 주실 수 있나요? 지오의 2번째 대사가 시작할 때 사라졌으면 해서요.
		Zio	Panic	<shake>콜록콜록</shake>			
		Zio	Panic	(무슨 먼지가 이렇게…….)			
		Zio	Panic	으윽….			
		Zio	Panic	(의자가 부서진 건가…?)			
							지오: 뒷 모습 (혹시 가능하다면, 일어선 정면 → 왼쪽 보는 옆모습 → 뒷모습으로 해주시면 감사합니다. 빠르게 돌리면 좀 뒤도는 모습처럼 보이지 않을까 싶어서요.)
	1	Zio			Emotion	QuestionMark	
		Zio	Panic	(벽난로?)			
		Timmy	Happy	…드디어 왔구나!			
							"왔구나!"할 때 쯤, 지오가 티미 쪽 바라봄
	2	Zio			Emotion	Surprise	
		Zio	Panic	(원래 사람이 있었나?<br>잠깐, 내가 들어온 창고가 이렇게 생겼던가?)			
							티미가 지오 쪽으로 이동 (이동 거리 직선으로 짧게)
	3	Timmy	Happy	안녕?			
		Zio	Default	…안녕하세요.			
		Zio	Panic	아, 죄송해요. 제가 분명 새를 따라 들어왔는데…….			
		Timmy	Happy	괜찮아. 그보다 이제야 왔구나!			
		Zio	Default	네? 저요?			
		Timmy	Happy	응! 널 기다리고 있었어!			
		Zio	Panic	저… 다른 분과 착각한 것 같아요.<br>전 나가볼게요.			
							지오 이동 – 지오 위치: 벽난로 → 문 앞
	4	Timmy	Default	너 맞는데, 잠깐만!			
		Zio	Panic	마음대로 들어와서 죄송했어요. 근데 저 정말 급해서요!			
							Fadeout 티미 방 → Fadein 마을 *카메라 연출 가능하면, 마을 풀샷 → 티미 집 앞에 있는 지오 줌인
	5	Zio			Emotion	Dumbfounded	
		Zio	Panic	…여기가 대체 어디야?			
							티미 등장 후 지오 옆에 붙어 서기
	6	Timmy	Happy	갑자기 나가서 놀랐잖아.<br>마왕성으로 바로 가려고?			
		Zio	Panic	분명 여기 숲이었는데…<br>여기가 대체 어디죠? 저 원래 있던 곳으로 돌아가야 해요.			
		Timmy	Default	원래 있던 곳?			
		Timmy	Happy	역시 넌 내가 기다리던 사람이 맞아!			
		Zio	Angry	아까부터 무슨 소리 하시는 거예요.			
		Timmy	Default	조… 조력자는 신탁을 모르는 건가?<br>…내가 이번 용사인 건 알아?			
		Zio	Panic	용사요?			
		Timmy	Default	으응. 내가 용사, 너는 날 도와줄 조력자.			
		Zio			Emotion	Angry	
		Zio	Angry	하… 저 이럴 시간 없어요.			
		Timmy	Default	마,맞는데, 너 회색 연기와 함께 나타났잖아!<br>신탁에서 조력자가 아까 너처럼 나타날 거라 했어.			
		Zio	Default	그건 회색 연기가 아니라 굴뚝의 먼지였어요.			
		Timmy	Default	하지만 그렇게라도 내 앞에 나타난 사람은 네가 처음이야.			
		Zio	Default	벽난로에서 사람이 나오는 게 흔한 일은 아니잖아요.<br>저도 아까가 처음이었고요.			
		Zio	Angry	전 용사 놀이에 맞춰줄 시간 없어요.			
		Timmy	Default	이건 놀이가 아닌데…<br>믿기 힘들면, 네가 조력자임을 확인해 보는 거 어때?			
		Timmy	Default	조력자는 음악적 재능을 타고났을 거야.<br>어렵지 않으니까 한번 해보자!			
		Zio	Default	알겠어요, 알겠어요.<br>대신 끝나면 저와 콩쿠르 대기실이나 찾아주세요.			
		Timmy	Happy	좋아! 근데 네가 조력자가 맞으면, 나랑 마왕을 무찌르러 가는 거야.			
		Zio	Default	알겠으니까 빨리 시작하죠.			
					Battle	Timmy	튜토리얼 전투 완료 + 스킬 획득창
	7				Skill	2	
		Zio	Default	트릴?			
		Timmy	Happy	봐! 역시 조력자가 맞았어! 이렇게 바로 <wave>스킬</wave>을 얻다니!			
		Timmy	Happy	나와의 전투를 통해 영감을 얻었구나!<br>이렇게 멋진 조력자가 나타날 줄 알았어!			
		Zio	Angry	(대충 장단 맞춰주며 길을 찾아봐야겠어.)			
		Zio	Panic	아… 그렇군요. 그럼 지금부터 뭘 하면 되는 거죠?<br>아까부터 말했지만 저에겐 시간이 별로 없어요.			
		Timmy	Happy	저 멀리 마왕성에 있는 마왕을 해치우면 돼.			
		Zio	Default	마왕…이요.<br>얼마나 오래 걸리는데요?			
		Timmy	Happy	글쎄? 나도 안 해봐서 몰라.			
		Zio	Default	빨리 돌아가야 하는데….			
		Timmy	Happy	마왕을 무찌르면 너도 돌아갈 수 있을 거야.<br>신탁이 그렇게 내려왔으니까.			
		Timmy	Happy	우선 작은 몬스터로 연습을 더 해보자.<br>아니면 마을 구경을 하는 건 어때?			
		Zio	Default	제가 아직은 혼란스러워서요. 잠시 혼자 있어도 될까요?			
		Timmy	Default	응. 날 만나려면 여기로 다시 찾아와!			
Ludius	0	Zio			Emotion	Dumbfounded	
		Zio	Default	(이 시간에 술을…….)			추후, 루디우스 술잔 내리는 모션 생길 시, 술잔 내리는 모션
		Ludius			Emotion	Drink	
		Ludius	Default	어이! 가까이 와 봐.			
		Zio			Emotion	Surprise	
		Zio	Panic	…저요?			
		Ludius	Default	여기 너 말고 누가 있어?			
		Ludius	Default	너 어디 가는 중이야?			
		Zio	Default	숲에 볼 일이 있어서요.			
		Ludius	Default	숲에 볼 거 없어.			
		Ludius	Default	어른들 걱정시키지 말고 마을에나 있어.			
		Zio	Panic	그게 아니라… 마왕성에…			
		Ludius	Default	뭐???			
		Zio	Panic	…마왕성이요.			
		Ludius	Default	그니까. 네가 무슨 재주로? 저기 잘못 들어가면 못 나와.			
		Ludius	Default	용사도 들어갔다 하면 못 나오는데, 무슨 놀이터로 아나.			
		Ludius	Default	하여튼 저 시끄러운 탬버린 하나 못 잡는 애들이 용사 놀이에 빠져가지고.			
		Zio	Panic	하하... 저는 가야 하는 것 같더라고요.			
		Ludius	Default	아! 아~ 네가 혹시 걔야?			
		Ludius	Default	오늘 그 용사 꼬맹이가 유독 신났더라고?			
		Zio	Panic	(언제 여기까지 와서 말한 거지?)			
		Ludius	Default	마왕성 갈 거면, 저기 시끄러운 탬버린이나 처리하고 가라.			
		Ludius	Default	네가 진짜면 저 정돈 쉽겠지.			
		Ludius	Default	근데 저런 거 잡으면 진짜 새로운 영감이 떠오르긴 하냐?			
		Zio	Panic	글쎄요… 저도 아직 잘 몰라서요.			
		Ludius	Default	잘 모르면 이번 기회에 배우면 되겠네.			
		Ludius	Default	가는 길에 저 시끄러운 <wave>탬버린</wave>부터 없애.			
		Zio	Panic	한 번 가볼게요.			
					Plus	1	
					Quest	0	
	1	Ludius			Emotion	QuestionMark	
		Ludius	Default	뭐야, 볼 일 있어?<br>거봐, 숲 근처도 못갔지?			
Zio	0	Zio			Emotion	QuestionMark	
		Zio	Default	(저 아저씨는 뭐하는 사람이지..?)			
Timmy	0	Timmy	Happy	나 다시 보고 싶었어?			
